"序号","姓名","源IP","目标IP","MAC地址","网址","标题","内容","日期"
1,"61.49.68.156","61.49.68.156","61.135.163.88","","http://tieba.baidu.com/f?kz=65
8459593","回","","2009-10-22 11:49:39"
2,"61.49.68.156","61.49.68.156","61.135.163.88","","http://tieba.baidu.com/f?kz=65
8458143","回","脸拉得太长了……","2009-10-22 11:46:53"
3,"61.49.68.156","61.49.68.156","61.135.163.88","","http://tieba.baidu.com/f?kz=65
8458143","回","<IMG class=BDE_Smiley src="htt
p://static.tieba.baidu.com/tb/
editor/images/jd/j_0013.gif" w
idth=40 height=40 changedsize=
"false">","2009-10-22 11:45:47"
4,"61.49.76.41","61.49.76.41","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8232230","回","有病毒能怎么","2009-10-22 11:42:23"
5,"61.49.68.156","61.49.68.156","61.135.163.88","","http://tieba.baidu.com/f?kz=65
8445479","回","人心所","2009-10-22 11:27:58"
6,"61.49.76.41","61.49.76.41","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8033597","回","本人","2009-10-22 11:26:55"
7,"61.49.68.156","61.49.68.156","61.135.163.88","","http://tieba.baidu.com/f?kz=65
8445479","回","……13L的","2009-10-22 11:24:46"
8,"61.49.68.156","61.49.68.156","61.135.163.88","","http://tieba.baidu.com/f?kz=65
8445479","回","……无","2009-10-22 11:23:49"
9,"61.49.68.156","61.49.68.156","61.135.163.88","","http://tieba.baidu.com/f?kz=65
8445479","回","碰到冰","2009-10-22 11:22:03"
10,"61.49.76.41","61.49.76.41","61.135.163.220","","http://tieba.baidu.com/f?kz=59
3783141","回","尹尚贤","2009-10-22 11:21:19"
11,"61.49.74.32","61.49.74.32","61.135.163.220","","http://tieba.baidu.com/f?z=652
393819&ct=335544320&lm=0&sc=0&
rn=30&tn=baiduPostBrowser&word
=%C9%BD%BF%DA%C9%BD&pn=90","回","466297239@qq.com   好人一生平
安","2009-10-22 11:19:46"
12,"61.49.74.32","61.49.74.32","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8383496","回","466297239@qq.com   好人一生平
安","2009-10-22 11:18:55"
13,"61.49.74.32","61.49.74.32","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8383496","回","466297239@qq.com   好人一生平
安","2009-10-22 11:17:54"
14,"61.49.74.32","61.49.74.32","61.135.163.220","","http://tieba.baidu.com/f?kz=65
1757336","回","466297239@qq.com   好人一生平
安","2009-10-22 11:17:25"
15,"61.49.68.156","61.49.68.156","61.135.163.88","","http://tieba.baidu.com/f?kz=65
8445479","回","无","2009-10-22 11:16:44"
16,"61.49.74.32","61.49.74.32","61.135.163.220","","http://tieba.baidu.com/f?z=652
952436&ct=335544320&lm=0&sc=0&
rn=30&tn=baiduPostBrowser&word
=%C9%BD%BF%DA%C9%BD&pn=90","回","466297239@qq.com   好人一生平
安","2009-10-22 11:16:44"
17,"61.49.74.32","61.49.74.32","61.135.163.220","","http://tieba.baidu.com/f?z=656
784585&ct=335544320&lm=0&sc=0&
rn=30&tn=baiduPostBrowser&word
=%C9%BD%BF%DA%C9%BD&pn=30","回","466297239@qq.com 好人一生平安","2009-10-22 11:15:37"
18,"61.49.68.156","61.49.68.156","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8445479","回","emact2防御佣兵……跟","2009-10-22 11:12:29"
19,"61.49.68.156","61.49.68.156","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8432946","回","应该说幸好","2009-10-22 11:11:08"
20,"61.49.68.156","61.49.68.156","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8432946","回","已","2009-10-22 11:06:53"
21,"61.49.68.156","61.49.68.156","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8432946","回","<IMG class=BDE_Smiley src="htt
p://static.tieba.baidu.com/tb/
editor/images/jd/j_0009.gif" w
idth=40 height=40 changedsize=
"false">","2009-10-22 11:03:26"
22,"61.49.74.32","61.49.74.32","61.135.163.220","","http://tieba.baidu.com/f?z=658
411056&ct=335544320&lm=0&sc=0&
rn=30&tn=baiduPostBrowser&word
=%C4%A7%CA%DE%CA%C0%BD%E7&pn=3
0","回","赶上直播了......","2009-10-22 10:45:39"
23,"61.49.76.41","61.49.76.41","61.135.163.220","","http://tieba.baidu.com/f?kz=53
3102906","回","多赚点儿钱","2009-10-22 10:41:58"
24,"61.49.76.41","61.49.76.41","61.135.163.220","","http://tieba.baidu.com/f?kz=65
8181160","回","快","2009-10-22 10:39:54"
