公司名称,地区,地址,联系人,职务,电子邮件,电话号码,邮政编码,主营,,客户类别,所属新野,人数,注册资金,开业日期,传真
上海振兴铝业有限公司,上海,上海市华泾路１９５号,周秋芳,,,64349018,200231,铝合金型材、模具、铝合金门窗，幕墙，防盗门的产销，铝型村，钢材彩色喷涂服务，附设：分公司。,,私营经济,轻有色金属压延加工业,400,298,2002-2-5,
上海华龙电力安装有限公司,上海,上海市闵行区曹建路２４９号,龚亚弟,,,64971597,201108,电力设备安装，电器设备，电线电缆，工程配套咨询服务。（涉及许可经营的凭许可证经营）。,,私营经济,设备安装业,50,300,2002-6-3,
上海珊星有色金属材料有限公司,上海,上海市闵行区马桥镇联盟村九组,邓国林,,,64090705,201111,生产销售电工用铝线材，铝合金材料，有色金属材料。（涉及许可经营的凭许可证经营）,,私营经济,轻有色金属压延加工业,40,101,2002-5-16,
上海普房预制品构件厂,上海,上海市普陀区桃浦镇槎浦村,杨伟德,,,59124595,201802,混凝土制品，钢筋外加工。（涉及许可经营的凭许可证经营）。经营方式：加工，产销,,国有经济,砼结构构件制造业,42,200,2002-4-15,
上海电影制片厂车队,上海,上海市斜土路２９８６号,沈建中,,,64381141,200030,货运。经营方式：服务,,国有经济,汽车运输业,90,104,2002-9-25,
上海龙华汽车配件有限公司,上海,上海市航校路１０８号,刘耀芝,,,54092726,200232,汽缸垫，汽车保险丝产销，接插件、导线加工。,,有限责任公司,汽车零部件及配件制造业,85,106,2002-2-22,
上海东华建设监理所,上海,上海市肇嘉浜路８３１号３０３室,俞建洲,,,64695229,200032,水运工程及其辅助和配套项目的监理，咨询。经营方式：技术服务。,,国有经济,其他公共服务业,81,200,2002-3-15,
上海半导体器件二十一厂,上海,上海市桂林南路１０５号,陈纪炎,,,62677027,200237,半导体器件、显像管。层楼指示器、电视机配件、电子元件、无烟烟灰缸。经营方式：产销,,国有经济,半导体器件制造业,4091,316,2002-4-5,
上海华盛香料厂,上海,上海市老沪闵路４４８号,叶金大,,,54083634,200237,日用化工品的产销加工。经营方式：产销，加工,,集体经济,香料、香精制造业,50,300,2002-3-22,
上海衡山药业有限公司,上海,上海市桂林南路１５５号－１５９号,王垂和,,,64129006,200237,片剂，硬胶囊剂，颗粒剂，粉雾剂，栓剂（涉及许可经营的凭许可证经营）,,有限责任公司,西药批发业,225,334,2002-6-6,
上海美雅延中印刷有限公司,上海,上海市静安区南京西路１５３７弄２３号,陈海汶,,,62891650,200040,印刷，排版，装订，烫金（范围见许可证，有效期至２００．３）,,有限责任公司,书、报、刊印刷业,50,400,2002-6-24,
上海航空工业建筑安装装潢公司,上海,上海市青浦区上海西部经济城２号,吴晓鸣,,,62553752,201700,建筑施工水电设备安装，装潢，打桩，拆房。经营方式：服务，施工。,,国有经济,装修装饰业,80,210,2002-10-29,
上海翰拓服饰有限公司,上海,上海市杨浦区翔殷路２８５号,吕晶,,,60100303,200433,服装，服饰，针纺织品，鞋帽，工艺品（不含金饰品）销售。,,私营经济,服装批发业,116,280,2002-10-30,
上海天湖汽车货运中心,上海,上海市陕西北路７９６号,黄英杰,,,56448208,200040,一般货物运输，集装箱运输（重箱），本系统生产的农副产品、茶叶、轴承。经营方式：服务、销售、批发,,国有经济,汽车运输业,53,100,2002-6-3,
上海砂轮机厂有限公司,上海,上海市龙吴路１０５号,王永发,,,62393603,200232,砂轮机、抛光机、电动手工具、车床配件、微波炉生产，销售。（涉及许可经营的凭许可证经营）,,私营经济,其他通用设备制造业,120,100,2002-6-4,
上海雄威汽车销售有限公司,上海,上海市沪太路１１０８号,曹欣,,,64195701,200072,汽车（不含小轿车），摩托车配件，汽车配件，汽车音响，五金交电，通讯设备，信息咨询服务（除中介代理）,,私营经济,汽车批发业,30,200,2002-5-16
上海申南树脂化工厂,上海,上海市宝山区真大路５６１弄２８号,唐根祥,,,56683505,200436,合成树脂涂料。经营方式：制造,,集体经济,涂料制造业,50,100,2002-8-28
美亚非机动车综合管理卢湾服务社,上海,上海市斜土路７８０号２号楼,吴静超,,,53014050,200023,非机动车停放修理租赁。,,办事处,其他居民服务业,100,300,2002-1-31
上海市闸北区好时光—大拇指幼儿园,上海,上海市三泉路７４９号,潘斌,,,63747052,200435,０－６岁全日制、寄宿制。,,其它经济,学前教育,35,200,2002-7-3
上海众益电器材料有限公司,上海,上海市奉贤区邬桥镇张塘村,何达林,,,57401417,201402,电线杆，水泥制品，电器控制箱，金属切削，冷作钣金，金属冲件。,,私营经济,水泥制品业,187,200,2002-10-8
上海不夜城物业管理有限公司,上海,上海市华盛路２１６号,李筱平,,,56558448,200070,物业管理，洗染，绿化工程，金属材料，机电设备，建筑材料，五金交电，日用百货，停车场。,,私营经济,房地产管理业,40,100,2002-3-6
上海市虹口区运输公司第二汽车队,上海,上海市中山北一路４１３号,周正文,,,65422961,200083,汽车运输打包托运。汽车修理，土方运输。经营方式：服务。,,集体经济,汽车运输业,132,139,2002-6-10
上海针织二十五厂,上海,上海市陕西南路５５０弄３７号,王伟华,,,64370119,200031,服装。经营方式：产销,,集体经济,毛针织品业,274,164,2002-8-16
上海有色合金线材厂,上海,上海市嘉定区真新街道丰庄村范家宅南,王爱荣,,,56678082,201802,金属材料。经营方式：产销。,,国有经济,有色金属合金业,600,344,2002-6-6
上海金翔木材批发市场,上海,上海市嘉定区南翔镇丰翔路８号,鲍卫标,,,69177368,201802,木材，木制品，钢材，有色金属，招商，租赁。经营方式：批发，零售，服务。,,联营经济,木材批发业,45,300,2002-8-1
上海交通大学电子音像出版社,上海,上海市番禺路８７７号,张天蔚,,,64073126,200030,电子出版物出版与发行。（涉及许可经营的凭许可证经营）。经营方式：出版，发行。,,国有经济,出版,80,100,2002-5-17
上海宇汇经济发展有限公司,上海,上海市康健路６５号４０１室,赵明,,,64087608,200235,建筑材料，装潢材料，百货，日用杂货销售，家用电器修理，室内装潢（涉及许可经营的凭许可证经营）。,,有限责任公司,建筑材料批发业,35,400,2002-4-5
上海广电凯歌汽车电子设备厂,上海,上海市吴中路３３９弄８号７号楼４楼,张晓英,,,64383363,200030,汽车音响，电子仪器，电子设备，家用电器。经营方式：产销。,,股份有限公司,收音机、录音机制造业,45,230,2002-4-10
上海申虹汽车服务有限公司,上海,上海市溧阳路１７７弄１２号三楼,张文明,,,65374063,200080,汽车出租。班车专线（凡涉及许可经营的凭许可证经营）,,有限责任公司,出租汽车业,47,100,2002-8-14
上海华银电器有限公司,上海,上海市闵行区华宁路１６２９号,顾涛荣,,,64093834,201111,变压器，互感器，电气开关柜，五金，加工,,私营经济,变压器制造业,180,100,2002-6-18
上海远程汽车维修有限公司,上海,上海市闵行区光华路５２５号,赵林香,,,64893316,201108,摩托车，助动车，自行车修理及其零配件零售，汽配，汽车修理（涉及许可经营的凭许可证经营）,,私营经济,汽车修理业,36,118,2002-5-21
上海华丰电扇厂,上海,上海市闵行区中春路６９６６号,曹伟元,,,54858549,201101,电风扇，取暖器，电气原件，吸油烟机。（涉及许可经营的凭许可证经营）经营方式：制造，加工。,,股份制经济,电风扇制造业,120,200,2002-5-28
上海顺通市政开发配套有限公司,上海,上海市溧阳路３５１号,何明智,,,65350469,200082,机械设备租赁，水，电，煤，电话配套服务，建筑装潢材料，建筑五金，汽车配件，日用百货，文化用品销售。,,有限责任公司,租赁服务业,180,100,2002-3-29
上海长安彩印合作公司,上海,上海市海伦路５５弄４３号,包金弟,,,65023389,200080,包装装潢，另件，印刷烫金，轧盒。纸盒。经营方式：制造，加工,,股份制经济,包装装潢印刷业,70,100,2002-5-27
上海市卢湾区人民防空工程管理所,上海,上海市瑞金南路６３弄３３号,陆永光,,,63040157,200023,负责全区人防工事管理、维修、养护及开发，承接防水筑漏，维修工程。,,办事处,其他公共服务业,130,100,2002-2-9
上海扬州酱菜厂,上海,上海市黄浦区保屯路１０１号,杨吉利,,,63771798,200011,酱菜。豆制食品，调味品，腌菜．经营方式：制造加工,,国有经济,其他食品加工业,58,122,2002-8-13
上海新世纪鞋业公司,上海,上海市净土街１９号,张传维,,,68777-10964,200010,皮鞋，附设分支机构。经营方式：制造,,国有经济,皮鞋制造业,45,213,2002-2-6
上海浦东六角楼彩印有限公司,上海,上海市浦东新区高东镇杨园先锋村小吴家宅１４号,奚惠新,,,68487094,201208,零件印刷，复印。普通商标印制（凭证）。,,私营经济,包装装潢印刷业,50,100,2002-4-27
中诚建筑设计有限公司,上海,上海市复兴中路１号１８０５室,傅仁章,,,63900953,200021,工业与民用建筑设计，市政工程设计，建筑装修工程设计及相关技术咨询，建筑模型制作，工程投资咨询,,有限责任公司,工程设计业,35,100,2002-6-11
上海高校出租汽车总公司,上海,上海市青浦区外青松公路５５００号６９号房,吴振华,,,,201700,客运．汽配．经营方式：服务，销售,,联营经济,出租汽车业,420,300,2002-2-26
上海川林有色金属铸造有限公司　,上海,上海市浦东新区曹路镇联合村东首林场内,徐国祥,,,50590022,201209,有色金属，普通机械及其配件的销售，附设分支机构,,私营经济,有色金属材料批发业,245,208,2002-3-7
上海金益油品有限公司,上海,上海市南汇区惠南镇游泳池路４０号,王新中,,,58021834,201300,汽油，柴油。机油，润滑油，油类制品，液化气及配套设备,,有限责任公司,石油及制品批发业,42,400,2002-7-2
上海互盈科技有限公司,上海,上海市张江高科技园区郭守敬路４９８号浦东软件园Ａ－２１２座,钱献和,,,52080943,201203,计算机软，硬件的开发，系统集成，技防工程系统维护，电子通讯产品的开发，销售与维护（以上各项涉及专项审批的除外），经济信息咨询服务，生物技术的开发。,,私营经济,软件开发咨询业,30,100,2002-5-17
上海联合祥和汽车销售有限公司,上海,上海市沪太路１１０８号,王树森,,,56375566,200072,汽车，汽车配件，五金交电，建筑材料（除专控及易燃易爆品），机电设备，摩托车及配件，金属材料（除专控）。,,有限责任公司,汽车批发业,38,200,2002-7-23
上海清华紫光环境工程有限公司,上海,上海市浦东新区商城路７３８号（胜康廖氏大厦）２００６－２０１０室,李星文,,,58209612,200120,环保工程，环保设备、环境工程、给排水，暖通、电气、自动控制技术、建筑（除施工图的设计外），机械等的设计、研究、开发、技术咨询、技术服务、环保设备的制造，销售及售后服务（以上涉及许可经营的凭许可证经营）,,有限责任公司,工程设计业,41,100,2002-2-9
上海商神储运有限公司,上海,上海市宝山区泰和路２０６２号,袁国强,,,56492550,201901,普通货运运输，堆存，仓储，理货，日用百货，五金交电，汽配，装潢材料，金属材料批发，零售。代购代销。,,有限责任公司,汽车运输业,40,100,2002-2-8
上海合家欢吉利宾馆有限公司,上海,上海市四平路８７０号,李美珍,,,65082586,200092,住宿，餐饮（含酒类），音乐餐厅，卡拉ＯＫ厅，理发，房屋出租，会务服务，棋牌，扦脚，零售日用百货，服装，针纺织品，烟，食品（不含熟食）（凡涉及许可经营的凭许可证经营）。,,有限责任公司,旅馆业,60,100,2002-7-31
上海名成窗饰制造有限公司,上海,上海市松江区九亭镇兴联村,殷国生,,,57632278,201615,窗饰产品制造加工，（涉及许可经营的凭许可证经营）,,私营经济,日用塑料杂品制造业,400,208,2002-4-23
上海彗龙网络技术有限公司,上海,上海张江高科技园区郭守敬路４９８号浦东软件园１１０５－Ｅ４座,张嘉骅,,,32100569,201203,计算机软硬件的开发、制作、销售及“四技”服务，互联网信息服务（凭许可证经营），附设分支机构。,,私营经济,软件开发咨询业,30,100,2002-7-15
上海伊藤家嘉里餐饮有限公司,上海,上海市静安区南京西路１５１５号１０２室，１０３室,黄晓华,,,64071055,200040,"日本料理，点心，饮料，酒（有效期２００３．５．３１）（凡涉及许可证的，凭许可证经营）	。",,私营经济,正餐,30,100,2002-9-17
上海吉瑞数码科技有限公司,上海,上海市凤城路１５８号,董理,,,51017021,200093,数码打印机，光机电一体化领域内的“四技”服务，数码打印机的生产及销售，机械设备及配件，建筑装潢材料，金属材料的销售；计算机软硬件的开发及销售，广告设计，制作，礼仪服务，企业形象策划，喷绘写真，广告礼品,,私营经济,技术推广和科技交流服务业,30,220,2002-5-23
上海博杨制衣有限公司,上海,上海市南汇区三灶镇南六公路８７６号３０１室,杨俊,,,58036959,201300,服装及辅料，制造，加工，销售。,,私营经济,服装制造业,200,100,2002-5-31
